29 0 11 76
27 1 45 40
30 4 70 54
6 6 39 100
26 7 55 15
42 9 80 18
5 10 58 81
40 15 49 15
3 16 8 80
44 20 63 38
46 20 90 54
2 22 72 14
23 23 11 20
43 23 25 76
22 25 88 64
34 25 89 21
16 29 84 30
39 29 27 65
20 33 17 67
15 34 32 15
19 35 83 66
0 40 52 50
36 41 42 34
38 42 48 43
45 45 35 26
28 46 14 20
47 46 28 77
10 47 50 2
48 49 61 32
11 51 54 16
7 52 82 65
33 57 31 93
8 60 90 19
21 64 69 16
32 65 77 86
14 67 44 7
49 67 78 59
1 69 75 12
9 69 55 6
24 69 23 57
4 73 77 28
35 74 83 61
25 75 100 65
18 79 5 92
41 82 19 50
13 87 68 68
31 91 82 16
17 93 32 100
12 97 96 41
37 97 54 85
